model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-extended,0.8209302325581396,0.9941860465116279,,0.9941860465116279,700,imdb
AlephAlpha_luminous-supreme,0.8209302325581396,0.9976744186046511,,0.9976744186046511,700,imdb
ai21_j1-grande,0.8209302325581396,1.0,,1.0,700,imdb
ai21_j1-grande-v2-beta,0.8209302325581396,1.0,,1.0,700,imdb
ai21_j1-jumbo,0.8209302325581396,0.9988372093023256,,0.9988372093023256,700,imdb
ai21_j1-large,0.8209302325581396,0.9965116279069768,,0.9965116279069768,700,imdb
anthropic_stanford-online-all-v4-s3,0.8209302325581396,0.9941860465116279,,0.9941860465116279,700,imdb
cohere_command-medium-beta,0.8209302325581396,1.0,,1.0,700,imdb
cohere_command-xlarge-beta,0.8209302325581396,0.9988372093023256,,0.9988372093023256,700,imdb
cohere_large-20220720,0.8209302325581396,0.9965116279069768,,0.9965116279069768,700,imdb
cohere_medium-20220720,0.8209302325581396,0.9546511627906977,,0.9546511627906977,700,imdb
cohere_medium-20221108,0.8209302325581396,0.9534883720930233,,0.9534883720930233,700,imdb
cohere_small-20220720,0.8209302325581396,0.35232558139534886,,0.35232558139534886,700,imdb
cohere_xlarge-20220609,0.8209302325581396,1.0,,1.0,700,imdb
cohere_xlarge-20221108,0.8209302325581396,1.0,,1.0,700,imdb
microsoft_TNLGv2_530B,0.8209302325581396,0.9988372093023256,,0.9988372093023256,700,imdb
microsoft_TNLGv2_7B,0.8209302325581396,0.9930232558139535,,0.9930232558139535,700,imdb
openai_ada,0.8209302325581396,0.8069767441860465,,0.8069767441860465,700,imdb
openai_babbage,0.8209302325581396,0.32790697674418606,,0.32790697674418606,700,imdb
openai_curie,0.8209302325581396,0.9569767441860465,,0.9569767441860465,700,imdb
openai_davinci,0.8209302325581396,0.9930232558139535,,0.9930232558139535,700,imdb
openai_text-ada-001,0.8209302325581396,0.7441860465116279,,0.7441860465116279,700,imdb
openai_text-babbage-001,0.8209302325581396,0.9348837209302325,,0.9348837209302325,700,imdb
openai_text-curie-001,0.8209302325581396,0.9558139534883721,,0.9558139534883721,700,imdb
openai_text-davinci-002,0.8209302325581396,0.9872093023255814,,0.9872093023255814,700,imdb
openai_text-davinci-003,0.8209302325581396,0.8953488372093024,,0.8953488372093024,700,imdb
together_bloom,0.8209302325581396,0.986046511627907,,0.986046511627907,700,imdb
together_glm,0.8209302325581396,0.9941860465116279,,0.9941860465116279,700,imdb
together_gpt-j-6b,0.8209302325581396,0.9906976744186047,,0.9906976744186047,700,imdb
together_gpt-neox-20b,0.8209302325581396,0.9953488372093023,,0.9953488372093023,700,imdb
together_opt-175b,0.8209302325581396,0.9965116279069768,,0.9965116279069768,700,imdb
together_opt-66b,0.8209302325581396,0.9837209302325581,,0.9837209302325581,700,imdb
together_t0pp,0.8209302325581396,0.010465116279069767,,0.010465116279069767,700,imdb
together_t5-11b,0.8209302325581396,0.013953488372093023,,0.013953488372093023,700,imdb
together_ul2,0.8209302325581396,0.02441860465116279,,0.02441860465116279,700,imdb
together_yalm,0.8209302325581396,0.791860465116279,,0.791860465116279,700,imdb
AlephAlpha_luminous-base,0.8209302325581396,0.9883720930232558,,0.9883720930232558,700,imdb
AlephAlpha_luminous-extended,0.8209302325581396,0.9941860465116279,,0.9941860465116279,700,imdb
AlephAlpha_luminous-supreme,0.8209302325581396,0.9976744186046511,,0.9976744186046511,700,imdb
ai21_j1-grande,0.8209302325581396,1.0,,1.0,700,imdb
ai21_j1-grande-v2-beta,0.8209302325581396,1.0,,1.0,700,imdb
ai21_j1-jumbo,0.8209302325581396,0.9988372093023256,,0.9988372093023256,700,imdb
ai21_j1-large,0.8209302325581396,0.9965116279069768,,0.9965116279069768,700,imdb
anthropic_stanford-online-all-v4-s3,0.8209302325581396,0.9941860465116279,,0.9941860465116279,700,imdb
cohere_command-medium-beta,0.8209302325581396,1.0,,1.0,700,imdb
cohere_command-xlarge-beta,0.8209302325581396,0.9988372093023256,,0.9988372093023256,700,imdb
cohere_large-20220720,0.8209302325581396,0.9965116279069768,,0.9965116279069768,700,imdb
cohere_medium-20220720,0.8209302325581396,0.9546511627906977,,0.9546511627906977,700,imdb
cohere_medium-20221108,0.8209302325581396,0.9534883720930233,,0.9534883720930233,700,imdb
cohere_small-20220720,0.8209302325581396,0.35232558139534886,,0.35232558139534886,700,imdb
cohere_xlarge-20220609,0.8209302325581396,1.0,,1.0,700,imdb
cohere_xlarge-20221108,0.8209302325581396,1.0,,1.0,700,imdb
microsoft_TNLGv2_530B,0.8209302325581396,0.9988372093023256,,0.9988372093023256,700,imdb
microsoft_TNLGv2_7B,0.8209302325581396,0.9930232558139535,,0.9930232558139535,700,imdb
openai_ada,0.8209302325581396,0.8069767441860465,,0.8069767441860465,700,imdb
openai_babbage,0.8209302325581396,0.32790697674418606,,0.32790697674418606,700,imdb
