model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-extended,0.8333333333333334,0.7426334776334776,,0.7426334776334776,30,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,0.8333333333333334,0.7659090909090909,,0.7659090909090909,30,natural_qa:mode=openbook
ai21_j1-grande,0.8333333333333334,0.6605339105339105,,0.6605339105339105,30,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,0.8333333333333334,0.755988455988456,,0.755988455988456,30,natural_qa:mode=openbook
ai21_j1-jumbo,0.8333333333333334,0.6419047619047619,,0.6419047619047619,30,natural_qa:mode=openbook
ai21_j1-large,0.8333333333333334,0.4732828282828283,,0.4732828282828283,30,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,0.8333333333333334,0.7976340326340327,,0.7976340326340327,30,natural_qa:mode=openbook
cohere_command-medium-beta,0.8333333333333334,0.8964646464646465,,0.8964646464646465,30,natural_qa:mode=openbook
cohere_command-xlarge-beta,0.8333333333333334,0.8682478632478632,,0.8682478632478632,30,natural_qa:mode=openbook
cohere_large-20220720,0.8333333333333334,0.6175661375661377,,0.6175661375661377,30,natural_qa:mode=openbook
cohere_medium-20220720,0.8333333333333334,0.2951737587031705,,0.2951737587031705,30,natural_qa:mode=openbook
cohere_medium-20221108,0.8333333333333334,0.3764141414141414,,0.3764141414141414,30,natural_qa:mode=openbook
cohere_small-20220720,0.8333333333333334,0.12808167141500473,,0.12808167141500473,30,natural_qa:mode=openbook
cohere_xlarge-20220609,0.8333333333333334,0.6489417989417989,,0.6489417989417989,30,natural_qa:mode=openbook
cohere_xlarge-20221108,0.8333333333333334,0.7709259259259259,,0.7709259259259259,30,natural_qa:mode=openbook
microsoft_TNLGv2_530B,0.8333333333333334,0.7620370370370371,,0.7620370370370371,30,natural_qa:mode=openbook
microsoft_TNLGv2_7B,0.8333333333333334,0.4735016835016835,,0.4735016835016835,30,natural_qa:mode=openbook
openai_ada,0.8333333333333334,0.10617588856939769,,0.10617588856939769,30,natural_qa:mode=openbook
openai_babbage,0.8333333333333334,0.27397053239158503,,0.27397053239158503,30,natural_qa:mode=openbook
openai_curie,0.8333333333333334,0.44935920288861464,,0.44935920288861464,30,natural_qa:mode=openbook
openai_davinci,0.8333333333333334,0.781005291005291,,0.781005291005291,30,natural_qa:mode=openbook
openai_text-ada-001,0.8333333333333334,0.013030303030303031,,0.013030303030303031,30,natural_qa:mode=openbook
openai_text-babbage-001,0.8333333333333334,0.06632756132756132,,0.06632756132756132,30,natural_qa:mode=openbook
openai_text-curie-001,0.8333333333333334,0.6584920634920636,,0.6584920634920636,30,natural_qa:mode=openbook
openai_text-davinci-002,0.8333333333333334,0.8282478632478633,,0.8282478632478633,30,natural_qa:mode=openbook
openai_text-davinci-003,0.8333333333333334,0.9215811965811966,,0.9215811965811966,30,natural_qa:mode=openbook
together_bloom,0.8333333333333334,0.7731481481481481,,0.7731481481481481,30,natural_qa:mode=openbook
together_glm,0.8333333333333334,0.7297619047619047,,0.7297619047619047,30,natural_qa:mode=openbook
together_gpt-j-6b,0.8333333333333334,0.4631890331890332,,0.4631890331890332,30,natural_qa:mode=openbook
together_gpt-neox-20b,0.8333333333333334,0.672020202020202,,0.672020202020202,30,natural_qa:mode=openbook
together_opt-175b,0.8333333333333334,0.7365608465608466,,0.7365608465608466,30,natural_qa:mode=openbook
together_opt-66b,0.8333333333333334,0.6865175565175565,,0.6865175565175565,30,natural_qa:mode=openbook
together_t0pp,0.8333333333333334,0.1875015968437021,,0.1875015968437021,30,natural_qa:mode=openbook
together_t5-11b,0.8333333333333334,0.2513592008989101,,0.2513592008989101,30,natural_qa:mode=openbook
together_ul2,0.8333333333333334,0.18564839436790687,,0.18564839436790687,30,natural_qa:mode=openbook
together_yalm,0.8333333333333334,0.07991896991896992,,0.07991896991896992,30,natural_qa:mode=openbook
AlephAlpha_luminous-base,0.8333333333333334,0.5676453611747729,,0.5676453611747729,30,natural_qa:mode=openbook
AlephAlpha_luminous-extended,0.8333333333333334,0.7426334776334776,,0.7426334776334776,30,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,0.8333333333333334,0.7659090909090909,,0.7659090909090909,30,natural_qa:mode=openbook
ai21_j1-grande,0.8333333333333334,0.6605339105339105,,0.6605339105339105,30,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,0.8333333333333334,0.755988455988456,,0.755988455988456,30,natural_qa:mode=openbook
ai21_j1-jumbo,0.8333333333333334,0.6419047619047619,,0.6419047619047619,30,natural_qa:mode=openbook
ai21_j1-large,0.8333333333333334,0.4732828282828283,,0.4732828282828283,30,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,0.8333333333333334,0.7976340326340327,,0.7976340326340327,30,natural_qa:mode=openbook
cohere_command-medium-beta,0.8333333333333334,0.8964646464646465,,0.8964646464646465,30,natural_qa:mode=openbook
cohere_command-xlarge-beta,0.8333333333333334,0.8682478632478632,,0.8682478632478632,30,natural_qa:mode=openbook
cohere_large-20220720,0.8333333333333334,0.6175661375661377,,0.6175661375661377,30,natural_qa:mode=openbook
cohere_medium-20220720,0.8333333333333334,0.2951737587031705,,0.2951737587031705,30,natural_qa:mode=openbook
cohere_medium-20221108,0.8333333333333334,0.3764141414141414,,0.3764141414141414,30,natural_qa:mode=openbook
cohere_small-20220720,0.8333333333333334,0.12808167141500473,,0.12808167141500473,30,natural_qa:mode=openbook
cohere_xlarge-20220609,0.8333333333333334,0.6489417989417989,,0.6489417989417989,30,natural_qa:mode=openbook
cohere_xlarge-20221108,0.8333333333333334,0.7709259259259259,,0.7709259259259259,30,natural_qa:mode=openbook
microsoft_TNLGv2_530B,0.8333333333333334,0.7620370370370371,,0.7620370370370371,30,natural_qa:mode=openbook
microsoft_TNLGv2_7B,0.8333333333333334,0.4735016835016835,,0.4735016835016835,30,natural_qa:mode=openbook
openai_ada,0.8333333333333334,0.10617588856939769,,0.10617588856939769,30,natural_qa:mode=openbook
openai_babbage,0.8333333333333334,0.27397053239158503,,0.27397053239158503,30,natural_qa:mode=openbook
openai_curie,0.8333333333333334,0.44935920288861464,,0.44935920288861464,30,natural_qa:mode=openbook
openai_davinci,0.8333333333333334,0.781005291005291,,0.781005291005291,30,natural_qa:mode=openbook
openai_text-ada-001,0.8333333333333334,0.013030303030303031,,0.013030303030303031,30,natural_qa:mode=openbook
openai_text-babbage-001,0.8333333333333334,0.06632756132756132,,0.06632756132756132,30,natural_qa:mode=openbook
openai_text-curie-001,0.8333333333333334,0.6584920634920636,,0.6584920634920636,30,natural_qa:mode=openbook
openai_text-davinci-002,0.8333333333333334,0.8282478632478633,,0.8282478632478633,30,natural_qa:mode=openbook
openai_text-davinci-003,0.8333333333333334,0.9215811965811966,,0.9215811965811966,30,natural_qa:mode=openbook
together_bloom,0.8333333333333334,0.7731481481481481,,0.7731481481481481,30,natural_qa:mode=openbook
together_glm,0.8333333333333334,0.7297619047619047,,0.7297619047619047,30,natural_qa:mode=openbook
together_gpt-j-6b,0.8333333333333334,0.4631890331890332,,0.4631890331890332,30,natural_qa:mode=openbook
together_gpt-neox-20b,0.8333333333333334,0.672020202020202,,0.672020202020202,30,natural_qa:mode=openbook
together_opt-175b,0.8333333333333334,0.7365608465608466,,0.7365608465608466,30,natural_qa:mode=openbook
together_opt-66b,0.8333333333333334,0.6865175565175565,,0.6865175565175565,30,natural_qa:mode=openbook
together_t0pp,0.8333333333333334,0.1875015968437021,,0.1875015968437021,30,natural_qa:mode=openbook
together_t5-11b,0.8333333333333334,0.2513592008989101,,0.2513592008989101,30,natural_qa:mode=openbook
together_ul2,0.8333333333333334,0.18564839436790687,,0.18564839436790687,30,natural_qa:mode=openbook
together_yalm,0.8333333333333334,0.07991896991896992,,0.07991896991896992,30,natural_qa:mode=openbook
AlephAlpha_luminous-base,0.8333333333333334,0.5676453611747729,,0.5676453611747729,30,natural_qa:mode=openbook
AlephAlpha_luminous-extended,0.8333333333333334,0.7426334776334776,,0.7426334776334776,30,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,0.8333333333333334,0.7659090909090909,,0.7659090909090909,30,natural_qa:mode=openbook
ai21_j1-grande,0.8333333333333334,0.6605339105339105,,0.6605339105339105,30,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,0.8333333333333334,0.755988455988456,,0.755988455988456,30,natural_qa:mode=openbook
ai21_j1-jumbo,0.8333333333333334,0.6419047619047619,,0.6419047619047619,30,natural_qa:mode=openbook
ai21_j1-large,0.8333333333333334,0.4732828282828283,,0.4732828282828283,30,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,0.8333333333333334,0.7976340326340327,,0.7976340326340327,30,natural_qa:mode=openbook
cohere_command-medium-beta,0.8333333333333334,0.8964646464646465,,0.8964646464646465,30,natural_qa:mode=openbook
cohere_command-xlarge-beta,0.8333333333333334,0.8682478632478632,,0.8682478632478632,30,natural_qa:mode=openbook
cohere_large-20220720,0.8333333333333334,0.6175661375661377,,0.6175661375661377,30,natural_qa:mode=openbook
cohere_medium-20220720,0.8333333333333334,0.2951737587031705,,0.2951737587031705,30,natural_qa:mode=openbook
cohere_medium-20221108,0.8333333333333334,0.3764141414141414,,0.3764141414141414,30,natural_qa:mode=openbook
cohere_small-20220720,0.8333333333333334,0.12808167141500473,,0.12808167141500473,30,natural_qa:mode=openbook
cohere_xlarge-20220609,0.8333333333333334,0.6489417989417989,,0.6489417989417989,30,natural_qa:mode=openbook
cohere_xlarge-20221108,0.8333333333333334,0.7709259259259259,,0.7709259259259259,30,natural_qa:mode=openbook
microsoft_TNLGv2_530B,0.8333333333333334,0.7620370370370371,,0.7620370370370371,30,natural_qa:mode=openbook
microsoft_TNLGv2_7B,0.8333333333333334,0.4735016835016835,,0.4735016835016835,30,natural_qa:mode=openbook
openai_ada,0.8333333333333334,0.10617588856939769,,0.10617588856939769,30,natural_qa:mode=openbook
openai_babbage,0.8333333333333334,0.27397053239158503,,0.27397053239158503,30,natural_qa:mode=openbook
openai_curie,0.8333333333333334,0.44935920288861464,,0.44935920288861464,30,natural_qa:mode=openbook
openai_davinci,0.8333333333333334,0.781005291005291,,0.781005291005291,30,natural_qa:mode=openbook
openai_text-ada-001,0.8333333333333334,0.013030303030303031,,0.013030303030303031,30,natural_qa:mode=openbook
openai_text-babbage-001,0.8333333333333334,0.06632756132756132,,0.06632756132756132,30,natural_qa:mode=openbook
openai_text-curie-001,0.8333333333333334,0.6584920634920636,,0.6584920634920636,30,natural_qa:mode=openbook
openai_text-davinci-002,0.8333333333333334,0.8282478632478633,,0.8282478632478633,30,natural_qa:mode=openbook
openai_text-davinci-003,0.8333333333333334,0.9215811965811966,,0.9215811965811966,30,natural_qa:mode=openbook
together_bloom,0.8333333333333334,0.7731481481481481,,0.7731481481481481,30,natural_qa:mode=openbook
together_glm,0.8333333333333334,0.7297619047619047,,0.7297619047619047,30,natural_qa:mode=openbook
together_gpt-j-6b,0.8333333333333334,0.4631890331890332,,0.4631890331890332,30,natural_qa:mode=openbook
together_gpt-neox-20b,0.8333333333333334,0.672020202020202,,0.672020202020202,30,natural_qa:mode=openbook
together_opt-175b,0.8333333333333334,0.7365608465608466,,0.7365608465608466,30,natural_qa:mode=openbook
together_opt-66b,0.8333333333333334,0.6865175565175565,,0.6865175565175565,30,natural_qa:mode=openbook
together_t0pp,0.8333333333333334,0.1875015968437021,,0.1875015968437021,30,natural_qa:mode=openbook
together_t5-11b,0.8333333333333334,0.2513592008989101,,0.2513592008989101,30,natural_qa:mode=openbook
together_ul2,0.8333333333333334,0.18564839436790687,,0.18564839436790687,30,natural_qa:mode=openbook
together_yalm,0.8333333333333334,0.07991896991896992,,0.07991896991896992,30,natural_qa:mode=openbook
