model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
cohere_small-20220720,1.11,0.008285714285714283,,0.008285714285714283,100,natural_qa:mode=closedbook
cohere_xlarge-20220609,1.11,0.819015873015873,,0.819015873015873,100,natural_qa:mode=closedbook
cohere_xlarge-20221108,1.11,0.8638521303258144,,0.8638521303258144,100,natural_qa:mode=closedbook
microsoft_TNLGv2_530B,1.11,0.9132380952380953,,0.9132380952380953,100,natural_qa:mode=closedbook
microsoft_TNLGv2_7B,1.11,0.42423809523809525,,0.42423809523809525,100,natural_qa:mode=closedbook
openai_ada,1.11,0.009714285714285713,,0.009714285714285713,100,natural_qa:mode=closedbook
openai_babbage,1.11,0.007333333333333334,,0.007333333333333334,100,natural_qa:mode=closedbook
openai_curie,1.11,0.21757142857142855,,0.21757142857142855,100,natural_qa:mode=closedbook
openai_davinci,1.11,0.8535363408521303,,0.8535363408521303,100,natural_qa:mode=closedbook
openai_text-ada-001,1.11,0.0,,0.0,100,natural_qa:mode=closedbook
openai_text-babbage-001,1.11,0.001818181818181818,,0.001818181818181818,100,natural_qa:mode=closedbook
openai_text-curie-001,1.11,0.13178571428571428,,0.13178571428571428,100,natural_qa:mode=closedbook
openai_text-davinci-002,1.11,0.9125664160401002,,0.9125664160401002,100,natural_qa:mode=closedbook
openai_text-davinci-003,1.11,0.932280701754386,,0.932280701754386,100,natural_qa:mode=closedbook
together_bloom,1.11,0.4722577030812325,,0.4722577030812325,100,natural_qa:mode=closedbook
together_glm,1.11,0.033,,0.033,100,natural_qa:mode=closedbook
together_gpt-j-6b,1.11,0.03926068376068376,,0.03926068376068376,100,natural_qa:mode=closedbook
together_gpt-neox-20b,1.11,0.28590476190476194,,0.28590476190476194,100,natural_qa:mode=closedbook
together_opt-175b,1.11,0.7913375104427736,,0.7913375104427736,100,natural_qa:mode=closedbook
together_opt-66b,1.11,0.6990559486952675,,0.6990559486952675,100,natural_qa:mode=closedbook
together_t0pp,1.11,0.014222222222222223,,0.014222222222222223,100,natural_qa:mode=closedbook
together_t5-11b,1.11,0.2017719298245614,,0.2017719298245614,100,natural_qa:mode=closedbook
together_ul2,1.11,0.25049122807017543,,0.25049122807017543,100,natural_qa:mode=closedbook
together_yalm,1.11,0.008055555555555555,,0.008055555555555555,100,natural_qa:mode=closedbook
